epoch,loss_ema
0,0.023225152752803974
1,0.017307650738277534
2,0.015578987800570408
3,0.015573545905612801
4,0.01438134274430924
5,0.01327155726946226
6,0.009864171219431898
7,0.011350072829982742
8,0.010619704538228865
9,0.009481272392833976
10,0.00887392847028041
11,0.00896847125215057
12,0.008505964979943121
13,0.008986686702457811
14,0.011507104058152369
15,0.008948197618630556
16,0.009618002353697336
17,0.010839149059446935
18,0.00938703874054167
19,0.010222745590009406
20,0.009596862959980192
21,0.010186378959554869
22,0.009375297737306032
23,0.013027556236359154
24,0.009502916855175056
25,0.010356962249686533
26,0.010471195829611979
27,0.009437374500877312
28,0.008561376622644312
29,0.009038116299273655
